Date,Year,Month,Day,Temperature,PO4,NO3,Secchi
01/01/2000,2000,1,1,NA,NA,NA,NA
02/01/2000,2000,1,2,NA,NA,NA,NA
03/01/2000,2000,1,3,6.20,0.75,14.59,1.80
04/01/2000,2000,1,4,6.10,0.93,13.07,1.50
05/01/2000,2000,1,5,5.90,1.00,12.93,1.10
06/01/2000,2000,1,6,5.90,0.87,12.98,1.30
07/01/2000,2000,1,7,5.90,0.88,11.89,2.10
08/01/2000,2000,1,8,NA,NA,NA,NA
09/01/2000,2000,1,9,NA,NA,NA,NA
10/01/2000,2000,1,10,5.70,0.53,11.13,2.10
11/01/2000,2000,1,11,5.70,0.54,7.15,1.40
12/01/2000,2000,1,12,5.40,0.58,14.54,2.00
13/01/2000,2000,1,13,5.20,0.66,11.03,1.90
14/01/2000,2000,1,14,5.30,0.65,15.71,2.00
15/01/2000,2000,1,15,NA,NA,NA,NA
16/01/2000,2000,1,16,NA,NA,NA,NA
17/01/2000,2000,1,17,5.50,0.53,15.62,2.20
18/01/2000,2000,1,18,NA,NA,NA,NA
19/01/2000,2000,1,19,5.20,0.98,21.26,0.90
20/01/2000,2000,1,20,5.10,0.88,21.43,1.10
21/01/2000,2000,1,21,NA,NA,NA,NA
22/01/2000,2000,1,22,NA,NA,NA,NA
23/01/2000,2000,1,23,NA,NA,NA,NA
24/01/2000,2000,1,24,4.40,1.22,22.72,1.80
25/01/2000,2000,1,25,4.40,1.04,23.67,2.10
26/01/2000,2000,1,26,4.80,1.13,20.94,1.40
27/01/2000,2000,1,27,4.80,0.87,18.36,1.90
28/01/2000,2000,1,28,4.90,0.70,22.48,1.60
29/01/2000,2000,1,29,NA,NA,NA,NA
30/01/2000,2000,1,30,NA,NA,NA,NA
31/01/2000,2000,1,31,NA,NA,NA,NA
01/02/2000,2000,2,1,4.50,1.41,44.57,0.70
02/02/2000,2000,2,2,4.50,0.95,40.72,1.00
03/02/2000,2000,2,3,4.60,1.01,36.19,6.00
04/02/2000,2000,2,4,4.70,1.02,37.51,1.10
05/02/2000,2000,2,5,NA,NA,NA,NA
06/02/2000,2000,2,6,NA,NA,NA,NA
07/02/2000,2000,2,7,4.90,1.05,32.77,1.30
08/02/2000,2000,2,8,5.10,0.99,37.37,1.40
09/02/2000,2000,2,9,NA,NA,NA,NA
10/02/2000,2000,2,10,5.10,2.07,41.27,0.60
11/02/2000,2000,2,11,5.00,1.08,36.89,0.80
12/02/2000,2000,2,12,NA,NA,NA,NA
13/02/2000,2000,2,13,NA,NA,NA,NA
14/02/2000,2000,2,14,5.00,0.76,27.96,0.80
15/02/2000,2000,2,15,5.10,1.15,12.27,1.00
16/02/2000,2000,2,16,5.00,0.93,16.93,1.20
17/02/2000,2000,2,17,4.80,1.03,12.72,1.10
18/02/2000,2000,2,18,4.60,0.73,11.32,1.10
19/02/2000,2000,2,19,NA,NA,NA,NA
20/02/2000,2000,2,20,NA,NA,NA,NA
21/02/2000,2000,2,21,4.70,0.84,33.53,1.20
22/02/2000,2000,2,22,4.90,0.90,34.30,1.80
23/02/2000,2000,2,23,4.90,1.32,30.83,1.80
24/02/2000,2000,2,24,5.30,1.05,31.13,2.20
25/02/2000,2000,2,25,5.10,0.71,28.77,2.20
26/02/2000,2000,2,26,NA,NA,NA,NA
27/02/2000,2000,2,27,NA,NA,NA,NA
28/02/2000,2000,2,28,5.40,0.68,30.82,1.40
29/02/2000,2000,2,29,5.40,0.86,29.11,1.90
01/03/2000,2000,3,1,5.30,0.92,28.86,2.30
02/03/2000,2000,3,2,5.20,0.73,31.35,1.80
03/03/2000,2000,3,3,NA,NA,NA,NA
04/03/2000,2000,3,4,NA,NA,NA,NA
05/03/2000,2000,3,5,NA,NA,NA,NA
06/03/2000,2000,3,6,4.80,0.86,44.97,1.70
07/03/2000,2000,3,7,5.20,0.80,16.89,1.10
08/03/2000,2000,3,8,5.30,0.84,14.97,1.10
09/03/2000,2000,3,9,5.10,1.37,36.56,1.00
10/03/2000,2000,3,10,5.10,1.31,46.86,0.90
11/03/2000,2000,3,11,NA,NA,NA,NA
12/03/2000,2000,3,12,NA,NA,NA,NA
13/03/2000,2000,3,13,5.50,0.68,31.70,1.20
14/03/2000,2000,3,14,5.10,1.06,44.34,1.40
15/03/2000,2000,3,15,5.30,0.95,37.74,1.00
16/03/2000,2000,3,16,5.30,1.68,54.03,0.90
17/03/2000,2000,3,17,5.60,0.93,52.98,1.10
18/03/2000,2000,3,18,NA,NA,NA,NA
19/03/2000,2000,3,19,NA,NA,NA,NA
20/03/2000,2000,3,20,5.60,1.16,53.54,1.50
21/03/2000,2000,3,21,5.70,1.16,55.36,1.50
22/03/2000,2000,3,22,5.80,1.16,58.84,2.00
23/03/2000,2000,3,23,5.80,1.48,63.33,1.90
24/03/2000,2000,3,24,5.90,1.26,71.24,1.80
